0	program#int	reduction
1	compUnit#int	reduction
2	decl#int	reduction
3	varDecl#int	reduction
4	bType#int	reduction
5	int#int	move
6	varDef#Ident	reduction
7	Ident#Ident	move
8	argVarDef#=	reduction
9	=#=	move
10	initVal#-	reduction
11	exp#-	reduction
12	assignExp#-	reduction
13	-#-	move
14	unaryExp#Ident	reduction
15	Ident#Ident	move
16	callFunc#;	reduction
17	mulExpAtom#;	reduction
18	addExpAtom#;	reduction
19	relExpAtom#;	reduction
20	eqExpAtom#;	reduction
21	assignExpAtom#;	reduction
22	argVarDecl#;	reduction
23	;#;	move
24	compUnit#int	reduction
25	decl#int	reduction
26	varDecl#int	reduction
27	bType#int	reduction
28	int#int	move
29	varDef#Ident	reduction
30	Ident#Ident	move
31	argVarDef#=	reduction
32	=#=	move
33	initVal#(	reduction
34	exp#(	reduction
35	assignExp#(	reduction
36	(#(	move
37	exp#Ident	reduction
38	assignExp#Ident	reduction
39	Ident#Ident	move
40	callFunc#%	reduction
41	mulExpAtom#%	reduction
42	%#%	move
43	unaryExp#Ident	reduction
44	Ident#Ident	move
45	callFunc#)	reduction
46	mulExpAtom#)	reduction
47	addExpAtom#)	reduction
48	relExpAtom#)	reduction
49	eqExpAtom#)	reduction
50	assignExpAtom#)	reduction
51	)#)	move
52	mulExpAtom#%	reduction
53	%#%	move
54	unaryExp#(	reduction
55	(#(	move
56	exp#Ident	reduction
57	assignExp#Ident	reduction
58	Ident#Ident	move
59	callFunc#*	reduction
60	mulExpAtom#*	reduction
61	*#*	move
62	unaryExp#Ident	reduction
63	Ident#Ident	move
64	callFunc#)	reduction
65	mulExpAtom#)	reduction
66	addExpAtom#)	reduction
67	relExpAtom#)	reduction
68	eqExpAtom#)	reduction
69	assignExpAtom#)	reduction
70	)#)	move
71	mulExpAtom#,	reduction
72	addExpAtom#,	reduction
73	relExpAtom#,	reduction
74	eqExpAtom#,	reduction
75	assignExpAtom#,	reduction
76	argVarDecl#,	reduction
77	,#,	move
78	varDef#Ident	reduction
79	Ident#Ident	move
80	argVarDef#=	reduction
81	=#=	move
82	initVal#(	reduction
83	exp#(	reduction
84	assignExp#(	reduction
85	(#(	move
86	exp#Ident	reduction
87	assignExp#Ident	reduction
88	Ident#Ident	move
89	callFunc#%	reduction
90	mulExpAtom#%	reduction
91	%#%	move
92	unaryExp#Ident	reduction
93	Ident#Ident	move
94	callFunc#)	reduction
95	mulExpAtom#)	reduction
96	addExpAtom#)	reduction
97	relExpAtom#)	reduction
98	eqExpAtom#)	reduction
99	assignExpAtom#)	reduction
100	)#)	move
101	mulExpAtom#*	reduction
102	*#*	move
103	unaryExp#(	reduction
104	(#(	move
105	exp#Ident	reduction
106	assignExp#Ident	reduction
107	Ident#Ident	move
108	callFunc#-	reduction
109	mulExpAtom#-	reduction
110	addExpAtom#-	reduction
111	-#-	move
112	mulExp#Ident	reduction
113	Ident#Ident	move
114	callFunc#)	reduction
115	mulExpAtom#)	reduction
116	addExpAtom#)	reduction
117	relExpAtom#)	reduction
118	eqExpAtom#)	reduction
119	assignExpAtom#)	reduction
120	)#)	move
121	mulExpAtom#;	reduction
122	addExpAtom#;	reduction
123	relExpAtom#;	reduction
124	eqExpAtom#;	reduction
125	assignExpAtom#;	reduction
